start_time,war
1918-05-01,WORLD WAR II (ITALY 1943-1944)
1918-06-01,WORLD WAR II (ITALY 1943-1944)
1918-06-01,WORLD WAR II (ITALY 1943-1944)
1918-06-01,WORLD WAR II (ITALY 1943-1944)
1918-06-01,WORLD WAR II (ITALY 1943-1944)
1918-06-01,WORLD WAR II (ITALY 1943-1944)
1918-06-01,WORLD WAR II (ITALY 1943-1944)
1918-06-01,WORLD WAR II (ITALY 1943-1944)
1918-06-01,WORLD WAR II (ITALY 1943-1944)
1918-06-01,WORLD WAR II (ITALY 1943-1944)
1918-06-01,WORLD WAR II (ITALY 1943-1944)
1918-06-01,WORLD WAR II (ITALY 1943-1944)
1918-06-01,WORLD WAR II (ITALY 1943-1944)
1918-07-01,WORLD WAR II (ITALY 1943-1944)
1918-07-01,WORLD WAR II (ITALY 1943-1944)
1918-07-01,WORLD WAR II (ITALY 1944)
1918-06-01,WORLD WAR II (ITALY 1944)
1918-07-01,WORLD WAR II (ITALY 1944)
1918-07-01,WORLD WAR II (ITALY 1944)
1918-07-01,WORLD WAR II (ITALY 1944)
1918-07-01,WORLD WAR II (ITALY 1944)
1918-07-01,WORLD WAR II (ITALY 1944)
1918-07-01,WORLD WAR II (ITALY 1944)
1918-07-01,WORLD WAR II (ITALY 1944)
1918-07-01,WORLD WAR II (ITALY 1944)
1918-07-01,WORLD WAR II (ITALY 1944)
1918-07-01,WORLD WAR II (ITALY 1944)
1918-07-01,WORLD WAR II (ITALY 1944)
1918-08-01,WORLD WAR II (ITALY 1944)
1918-08-01,WORLD WAR II (ITALY 1944)
1918-09-01,WORLD WAR II (ITALY 1944)
1918-09-01,WORLD WAR II (ITALY 1944)
1918-09-01,WORLD WAR II (ITALY 1944)
1918-10-01,WORLD WAR II (ITALY 1944)
1918-10-01,WORLD WAR II (ITALY 1944)
1918-10-01,WORLD WAR II (ITALY 1944)
1918-10-01,WORLD WAR II (ITALY 1944)
1918-10-01,WORLD WAR II (ITALY 1944)
1918-10-01,WORLD WAR II (ITALY 1944)
1918-10-01,WORLD WAR II (EUROPEAN THEATER)
1918-10-01,WORLD WAR II (EUROPEAN THEATER)
1918-10-01,WORLD WAR II (EUROPEAN THEATER)
1918-10-01,WORLD WAR II (EUROPEAN THEATER)
1918-10-01,WORLD WAR II (EUROPEAN THEATER)
1918-10-01,WORLD WAR II (EUROPEAN THEATER)
1918-10-01,WORLD WAR II (EUROPEAN THEATER)
1918-10-01,WORLD WAR II (EUROPEAN THEATER)
1918-10-01,WORLD WAR II (EUROPEAN THEATER)
1918-11-01,WORLD WAR II (EUROPEAN THEATER)
1918-11-01,WORLD WAR II (EUROPEAN THEATER)
1918-11-01,WORLD WAR II (EUROPEAN THEATER)
1918-06-01,WORLD WAR II (EUROPEAN THEATER)
1918-09-01,WORLD WAR II (EUROPEAN THEATER)
1942-08-01,WORLD WAR II (EUROPEAN THEATER)
1942-08-01,WORLD WAR II (EUROPEAN THEATER)
1942-08-01,WORLD WAR II (EUROPEAN THEATER)
1942-09-01,WORLD WAR II (EUROPEAN THEATER)
1942-09-01,WORLD WAR II (EUROPEAN THEATER)
1942-09-01,WORLD WAR II (EUROPEAN THEATER)
1942-10-01,WORLD WAR II (EUROPEAN THEATER)
1942-10-01,WORLD WAR II (EUROPEAN THEATER)
1942-10-01,WORLD WAR II (EUROPEAN THEATER)
1942-11-01,WORLD WAR II (EUROPEAN THEATER)
1942-11-01,WORLD WAR II (EUROPEAN THEATER)
1943-03-01,WORLD WAR II (EUROPEAN THEATER)
1943-03-01,WORLD WAR II (EUROPEAN THEATER)
1943-04-01,WORLD WAR II (EUROPEAN THEATER)
1943-09-01,WORLD WAR II
1943-09-01,WORLD WAR II
